Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,12323,666.31,45,413,1.0727272727272728,1.73,224,1.0401149425287357,1.7601428571428572,3.312560975609756
1,12331,618.93,59,329,1.3708333333333331,2.58,157,1.9941176470588236,0.9475,2.2081761006289304
1,12391,504.16,81,302,1.188976377952756,1.98,189,1.1608433734939758,1.8132110091743117,1.9106363636363637
1,12422,557.3,27,285,1.1176470588235294,2.19,143,1.059240506329114,1.6952564102564105,5.259387755102041
1,12453,329.53,38,185,1.3028169014084507,2.32,95,1.5255555555555558,1.2063492063492065,2.401038961038961
1,12476,616.57,40,525,1.7676767676767675,2.08,166,0.6759999999999999,1.3536986301369862,3.6231944444444446
1,12485,533.74,26,216,1.2272727272727273,3.03,108,1.259746835443038,1.4442592592592594,4.291927710843374
1,12508,322.98,46,399,1.303921568627451,1.06,172,0.5495884773662552,0.7419014084507043,6.005714285714285
1,12511,397.94,57,197,1.0207253886010363,2.06,168,0.8996521739130434,3.722368421052632,1.93
1,12522,446.11,23,322,1.3819742489270386,1.91,151,1.1186868686868687,1.368984771573604,2.5257692307692308
1,12548,634.35,19,276,1.3333333333333333,3.06,111,1.117914110429448,4.503111111111111,2.0369565217391306
1,12574,777.49,80,335,1.6105769230769231,3.74,198,0.8214,2.4243103448275862,4.483934426229509
1,12613,346.9,57,230,1.52317880794702,2.3,134,1.0805882352941174,1.3762686567164175,2.0280645161290325
1,12618,839.88,22,292,1.1450980392156864,3.29,122,1.054818181818182,1.3411016949152543,8.8375
1,12644,339.94,26,339,1.3399209486166008,1.34,145,0.8332857142857143,0.7580000000000001,3.2558620689655173
1,12682,753.6,41,283,1.2805429864253397,3.41,118,1.0729605263157893,1.6508571428571428,16.045
1,12711,390.5,50,253,1.0905172413793105,1.68,188,0.7657377049180327,1.994639175257732,3.047058823529412
1,12753,638.39,56,333,1.121212121212121,2.15,229,1.0460674157303371,2.5512162162162166,1.7469791666666663
1,12771,335.36,87,315,1.097560975609756,1.17,191,0.7599230769230768,1.2468750000000002,4.255652173913044
1,12792,512.1,37,445,1.1265822784810129,1.3,201,1.0311428571428571,1.0027397260273974,4.051578947368421
1,12796,1831.46,12,1006,1.6879194630872485,3.07,91,1.1595238095238094,1.8844694533762056,2.644391891891892
